no,yes,benton,coated,coated,no,line,yes,tabloid,scandanavian,40,42,0.2,14.5,74,1,25,8,2100,57.5,34.5,0,0,2.3,0.7,35,40,107.4,100,band.
yes,?,?,uncoated,uncoated,no,?,?,tabloid,?,55,56,0.3,21,80,0.875,35,?,1650,?,?,?,?,2.1,0.6,?,40,100,100,band.
no,yes,benton,coated,coated,yes,line,yes,tabloid,canadian,30,51,0.333,16,76,0.875,25,19.1,2250,42.7,38.2,3,0,1.2,0.5,30,35,103.3,100,noband.
no,yes,benton,coated,coated,no,line,no,tabloid,canadian,50,60,0.4,16,76,0.5625,28,5.6,1600,55.6,38.9,0,0,1,0.5,35,40,110,100,noband.
yes,yes,benton,uncoated,uncoated,no,line,yes,tabloid,?,45,44,0.267,14.1,78,0.625,22,7.6,1510,54.3,38,0,0,2.5,0.7,34,40,114.28,100,noband.
no,no,benton,coated,coated,no,line,no,tabloid,?,40,62,0.233,16.1,78,0.5625,25,5.5,1800,55,39.5,0,0,1.6,1.5,30,40,103.23,100,noband.
yes,yes,benton,uncoated,uncoated,no,line,yes,tabloid,?,40,42,0.333,15.5,64,0.625,20,10.5,1550,52.6,36.9,0,0,2,0.6,40,40,106.25,100,noband.
no,?,?,coated,coated,no,?,yes,tabloid,?,35,48,0.267,16,72,0.75,20,?,1650,?,?,?,?,1.5,1.1,?,40,83.33,100,band.
no,yes,benton,uncoated,coated,no,line,yes,tabloid,?,40,39,0.2,15,83,0.625,30,0,2000,58.1,41.9,1,0,2.5,0.6,35,40,100,100,band.
yes,yes,benton,uncoated,uncoated,no,line,no,tabloid,northus,52,64,0.4,15.5,82,0.625,30,0,1800,71.4,28.6,4,0,2.5,0.9,34,40,103.125,100,band.
no,yes,benton,uncoated,coated,no,line,yes,spiegel,northus,45,42,0.333,14,75,1,20,0,1800,58.9,41.1,8,0,3,2,35,40,100,100,noband.
yes,yes,benton,uncoated,uncoated,no,line,no,tabloid,northus,55,49,0.233,15.6,80,1,30,35.8,1950,41.7,22.5,1,0,2.7,1,40,37,100,100,band.
no,no,benton,coated,coated,no,line,yes,tabloid,canadian,42.5,48,0.2,16,70,0.8125,35,0,2050,66.7,33.3,2,0,1.7,1,30,40,93.55,90,noband.
yes,yes,benton,uncoated,uncoated,no,line,yes,tabloid,southus,40,40,0.35,18.5,85,0.5625,30,0,1900,62.5,37.5,4,0,1.8,1.4,40,40,106.45,100,band.
no,yes,benton,coated,coated,no,line,yes,tabloid,canadian,40,56,0.3,17,82,0.75,30,0,2550,52.6,47.4,0,0,2,1,33,40,103.22,100,noband.
yes,yes,benton,uncoated,uncoated,no,line,no,tabloid,southus,40,47,0.35,14.43,76,0.75,16,7.2,2000,51.5,41.2,1,0,2.7,1.4,40,40,100,100,band.
no,yes,benton,coated,coated,no,line,no,tabloid,canadian,?,66,0.2,15,82,0.8125,30,7,1900,58.1,34.9,5,0,2.5,0.9,30,40,103.125,100,band.
no,yes,benton,coated,coated,no,line,yes,tabloid,canadian,30,56,0.283,17,72,0.75,30,0,2550,52.6,47.4,0,0,2,1,33,40,103.22,100,noband.
no,yes,benton,coated,coated,no,line,yes,tabloid,?,45,58,0.2,15,75,0.625,20,10.5,2100,52.6,36.8,0,0,2.5,0.7,33,40,103.125,100,noband.
no,yes,benton,coated,coated,no,line,no,tabloid,canadian,30,45,0.233,17,70,0.75,35,0,2200,58.8,41.2,0,0,2.5,1,33,40,106.45,100,band.
no,yes,benton,coated,coated,no,line,yes,tabloid,canadian,50,43,0.2,16,82,0.875,30,0,2270,55.6,44.4,12,0,2,1,30,40,103.22,100,noband.
